id,lat,lon,name,sensor_number,region
2021,49.328887,-123.1658402,West Vancouver Memorial Library,Sensor 1,"Metro Vancouver - NW, B.C."
2022,49.845966,-124.5218536,Powell River Public Library,Sensor 3,"Sunshine Coast - Saltery Bay to Powell River, B.C."
2023,49.279798,-123.1157590,VPL - Central Library,Sensor 13,"Metro Vancouver - NW, B.C."
2024,49.318253,-123.1258594,Chief Joe Mathias Centre,Sensor 5,"Metro Vancouver - NW, B.C."
2025,49.257407,-123.1467876,Canadian Memorial United Church,Sensor 16,"Metro Vancouver - NW, B.C."
2030,49.380893,-123.3381594,Bowen Island,Sensor 9,"Metro Vancouver - NW, B.C."
2031,49.317887,-122.9706445,NVDPL Parkgate Library Branch,Sensor 17,"Metro Vancouver - NW, B.C."
2033,49.691282,-123.1478330,Squamish Nation Totem Hall,Sensor 6,"Howe Sound, B.C."
2039,49.210404,-123.1183766,Marpole Oakridge Family Place,Sensor 15,"Metro Vancouver - NW, B.C."
2040,49.680288,-124.4786294,Gillies Bay Public Library,Sensor 2,"Sunshine Coast - Saltery Bay to Powell River, B.C."
2042,50.318678,-122.800427,Pemberton Community Centre,Sensor 7,"Whistler, B.C."
2043,50.117361,-122.956237,Whistler Public Library,Sensor 8,"Whistler, B.C."
MOD-00632,49.326636,-123.121436,Lions Gate Rec Center,Sensor 4,"Metro Vancouver - NW, B.C."
MOD-00616,50.318678,-122.800427,Pemberton Community Centre,Sensor 7,"Whistler, B.C."
MOD-00625,49.283711,-123.094927,Evelyne Saller Centre,Sensor 10,"Metro Vancouver - NW, B.C."
MOD-00631,49.337256,-123.102730,NVDPL Capilano Branch,Sensor 11,"Metro Vancouver - NW, B.C."
MOD-00623,49.336187,-123.038952,NVDPL Lynn Valley Branch,Sensor 12,"Metro Vancouver - NW, B.C."
MOD-00627,49.290013,-123.136143,West End Community Centre,Sensor 14,"Metro Vancouver - NW, B.C."